Raw file	Experiment	grouping1
20171206_Rachid_Colon_M#07	20171206_Rachid_Colon_M#07	condition3
20171206_Rachid_Colon_M#10	20171206_Rachid_Colon_M#10	condition3
20171206_Rachid_Colon_M#14	20171206_Rachid_Colon_M#14	condition3
20171206_Rachid_Colon_M#16	20171206_Rachid_Colon_M#16	condition3
20171206_Rachid_Colon_M#18	20171206_Rachid_Colon_M#18	condition3
20171206_Rachid_Colon_M#19	20171206_Rachid_Colon_M#19	condition3
20171206_Rachid_Colon_M#20	20171206_Rachid_Colon_M#20	condition3
20171206_Rachid_Colon_M#22	20171206_Rachid_Colon_M#22	condition3
20171206_Rachid_Colon_M#23	20171206_Rachid_Colon_M#23	condition3
20171206_Rachid_Colon_M#24	20171206_Rachid_Colon_M#24	condition3
20171206_Rachid_Colon_M#30	20171206_Rachid_Colon_M#30	condition3
20171206_Rachid_Colon_M#32	20171206_Rachid_Colon_M#32	condition3
20171206_Rachid_Colon_M#33	20171206_Rachid_Colon_M#33	condition3
20171206_Rachid_Colon_M#34	20171206_Rachid_Colon_M#34	condition3
20171206_Rachid_Colon_M#35	20171206_Rachid_Colon_M#35	condition4
20171206_Rachid_Colon_M#36	20171206_Rachid_Colon_M#36	condition4
20171206_Rachid_Colon_M#37	20171206_Rachid_Colon_M#37	condition4
20171206_Rachid_Colon_M#38	20171206_Rachid_Colon_M#38	condition4
20171206_Rachid_Colon_M#39	20171206_Rachid_Colon_M#39	condition4
20171206_Rachid_Colon_M#40	20171206_Rachid_Colon_M#40	condition4
20171206_Rachid_Colon_M#41	20171206_Rachid_Colon_M#41	condition4
20171206_Rachid_Colon_M#42	20171206_Rachid_Colon_M#42	condition4
20171206_Rachid_Colon_M#44_5	20171206_Rachid_Colon_M#44_5	condition4
20171206_Rachid_Colon_M#49	20171206_Rachid_Colon_M#49	condition4
20171206_Rachid_Colon_M#55	20171206_Rachid_Colon_M#55	condition4
20171206_Rachid_Colon_M#59_5	20171206_Rachid_Colon_M#59_5	condition4
20171206_Rachid_Colon_M#62_5	20171206_Rachid_Colon_M#62_5	condition4
20171206_Rachid_Colon_M#63	20171206_Rachid_Colon_M#63	condition4
20171206_Rachid_Colon_M#70	20171206_Rachid_Colon_M#70	condition4
20171206_Rachid_Colon_M#73_5	20171206_Rachid_Colon_M#73_5	condition4
20171206_Rachid_Colon_M#74	20171206_Rachid_Colon_M#74	condition4
20171206_Rachid_Colon_M#75	20171206_Rachid_Colon_M#75	condition4
20171206_Rachid_Colon_M#76_5	20171206_Rachid_Colon_M#76_5	condition4
20171206_Rachid_Colon_M#80	20171206_Rachid_Colon_M#80	condition4
