Raw file	Experiment	MS/MS	MS/MS Identified	MS/MS Identified [%]	Peptide Sequences Identified
20171206_Rachid_Colon_M#01	12_Colon_M#01	82767	25400	25.38	8154
20171206_Rachid_Colon_M#02	12_Colon_M#02	82251	25196	25.62	10700
20171206_Rachid_Colon_M#03	12_Colon_M#03	80707	20250	19.85	8446
20171206_Rachid_Colon_M#04	12_Colon_M#04	82500	14604	13.98	6476
20171206_Rachid_Colon_M#06	12_Colon_M#06	77405	20076	21.14	8738
20171206_Rachid_Colon_M#07	12_Colon_M#07	81896	21351	21.02	8496
20171206_Rachid_Colon_M#10	12_Colon_M#10	80275	20526	20.14	8420
20171206_Rachid_Colon_M#14	12_Colon_M#14	80009	20866	21.17	8929
20171206_Rachid_Colon_M#16	12_Colon_M#16	81099	22135	21.95	9240
20171206_Rachid_Colon_M#18	12_Colon_M#18	78063	18559	18.91	8050
20171206_Rachid_Colon_M#19	12_Colon_M#19	78593	18913	18.97	8158
20171206_Rachid_Colon_M#20	12_Colon_M#20	78779	21085	21.51	9104
20171206_Rachid_Colon_M#22	12_Colon_M#22	79921	20861	20.85	8913
20171206_Rachid_Colon_M#23	12_Colon_M#23	73657	18510	20.13	8183
20171206_Rachid_Colon_M#24	12_Colon_M#24	78940	19004	18.9	8152
20171206_Rachid_Colon_M#30	12_Colon_M#30	81349	21707	21.76	9086
20171206_Rachid_Colon_M#32	12_Colon_M#32	78003	20209	20.64	8848
20171206_Rachid_Colon_M#33	12_Colon_M#33	76155	17654	18.25	7757
20171206_Rachid_Colon_M#34	12_Colon_M#34	79601	20415	20.29	8214
20171206_Rachid_Colon_M#35	12_Colon_M#35	79446	19325	19.15	7988
20171206_Rachid_Colon_M#36	12_Colon_M#36	80487	20309	20.14	7876
20171206_Rachid_Colon_M#37	12_Colon_M#37	81910	21355	20.62	8782
20171206_Rachid_Colon_M#38	12_Colon_M#38	82710	21527	20.62	8863
20171206_Rachid_Colon_M#39	12_Colon_M#39	82901	21297	20.87	8870
20171206_Rachid_Colon_M#40	12_Colon_M#40	72168	20616	21.45	8106
20171206_Rachid_Colon_M#41	12_Colon_M#41	79489	19020	18.94	7631
20171206_Rachid_Colon_M#42	12_Colon_M#42	80935	23066	23.05	9113
20171206_Rachid_Colon_M#44_5	12_Colon_M#44_5	76592	21003	22.15	8476
20171206_Rachid_Colon_M#49	12_Colon_M#49	73440	16415	17.59	7448
20171206_Rachid_Colon_M#55	12_Colon_M#55	77266	16478	16.63	7244
20171206_Rachid_Colon_M#59_5	12_Colon_M#59_5	80583	20478	20.51	8255
20171206_Rachid_Colon_M#62_5	12_Colon_M#62_5	78028	15887	16.08	6781
20171206_Rachid_Colon_M#63	12_Colon_M#63	81809	22877	22.22	9239
20171206_Rachid_Colon_M#70	12_Colon_M#70	70848	8002	8.04	3762
20171206_Rachid_Colon_M#73_5	12_Colon_M#73_5	75852	18579	19.8	7890
20171206_Rachid_Colon_M#74	12_Colon_M#74	79623	19793	20.06	8407
20171206_Rachid_Colon_M#75	12_Colon_M#75	77538	16400	16.53	7142
20171206_Rachid_Colon_M#76_5	12_Colon_M#76_5	79831	19367	19	7758
20171206_Rachid_Colon_M#80	12_Colon_M#80	78801	17647	17.54	7535
09_Colon_M#01					9634
09_Colon_M#02					10010
09_Colon_M#03					10762
09_Colon_M#04					6902
09_Colon_M#05					11873
09_Colon_M#06					9381
09_Colon_M#07					9129
09_Colon_M#08					10664
09_Colon_M#09					11085
09_Colon_M#10					9444
09_Colon_M#11					10434
09_Colon_M#12					9481
09_Colon_M#13					9278
09_Colon_M#14					10299
09_Colon_M#15					10223
09_Colon_M#16					10256
09_Colon_M#17					10270
09_Colon_M#18					9019
09_Colon_M#19					9873
09_Colon_M#20					10680
09_Colon_M#21					9265
09_Colon_M#22					10243
09_Colon_M#23					9639
09_Colon_M#24					9288
09_Colon_M#25					9834
09_Colon_M#26					10435
09_Colon_M#27					10208
09_Colon_M#28					11012
09_Colon_M#29					10865
09_Colon_M#30					10541
09_Colon_M#31					11393
09_Colon_M#32					10910
09_Colon_M#33					9996
09_Colon_M#34					10895
09_Colon_M#35					10025
