Protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity P1_GLU	Intensity P10_FOS	Intensity P11_CYC	Intensity P12_GLU	Intensity P13_PBS	Intensity P14_CYC	Intensity P2_GLU	Intensity P3_PBS	Intensity P4_BAS1	Intensity P5_CYC	Intensity P6_FOS	Intensity P7_FOS	Intensity P8_PBS	Intensity P9_BAS2	Only identified by site	Reverse	Potential contaminant	id
MH0002_GL0001931;MH0152_GL0018417;NLF015_GL0044229;V1.UC17-2_GL0102193;O2.UC6-0_GL0007593;V1.UC38-4_GL0113171	18	3	60.363	1067600000	100070000	112130000	84508000	65508000	56375000	67653000	122310000	51358000	91365000	40142000	80813000	87049000	45950000	62402000				708
O2.UC19-2_GL0098732;MH0002_GL0001932;V1.UC17-2_GL0032917;V1.CD6-0-PT_GL0184401;V1.UC55-0_GL0076227;V1.CD54-0_GL0061267;O2.UC19-1_GL0078444;MH0287_GL0053741;MH0198_GL0204093;MH0369_GL0126621	7	4	22.367	1139700000	98188000	137600000	42488000	132590000	64513000	30232000	111800000	80613000	64462000	85339000	51832000	131940000	70769000	37310000				709
T2D-48A_GL0085176;NLF006_GL0041201;N085A_GL0086951;MH0016_GL0004900;MH0002_GL0002105;MH0191_GL0069603;V1.UC26-4_GL0035109;O2.UC24-1_GL0164419;MH0407_GL0174691;MH0381_GL0134698;MH0198_GL0046261;MH0129_GL0007405;MH0414_GL0090636;MH0011_GL0011745;MH0127_GL0037208;MH0025_GL0041876	8	2	3.1642	441210000	0	12108000	50263000	9502200	48978000	44163000	36524000	26930000	50458000	43397000	14844000	19836000	41377000	42830000				710
O2.UC32-0_GL0126884;MH0236_GL0017104;MH0193_GL0019965;MH0037_GL0026415;NLF013_GL0065439;MH0131_GL0105754;MH0067_GL0074787;MH0002_GL0005969;V1.CD30-0_GL0063004;MH0373_GL0090509;MH0127_GL0015551;T2D-31A_GL0014666;O2.UC47-2_GL0097980;V1.UC42-0_GL0107202;556261.HMPREF0240_00784;O2.UC30-0_GL0135584;MH0212_GL0078832;MH0193_GL0095215;MH0191_GL0176239;MH0191_GL0120213;V1.UC55-0_GL0134380;V1.FI18_GL0116134;V1.CD7-4_GL0038612;V1.CD20-4_GL0029578;MH0389_GL0049820;MH0188_GL0047267;MH0006_GL0155822;MH0385_GL0148303;MH0370_GL0033018;MH0355_GL0117081;MH0389_GL0050124;MH0086_GL0101325;MH0006_GL0183936;V1.UC52-1_GL0094622;V1.FI36_GL0002833;V1.CD20-4_GL0035404;O2.UC6-0_GL0079477;O2.UC2-1_GL0200907;O2.UC17-2_GL0053602;O2.CD3-0-PT_GL0175913;NOF005_GL0059667;MH0375_GL0046876;MH0370_GL0069862;MH0193_GL0176649;MH0148_GL0148365;MH0086_GL0027148;MH0071_GL0037034;MH0006_GL0179792;V1.FI24_GL0045796;MH0377_GL0104134;MH0058_GL0065039;MH0385_GL0142852;MH0011_GL0068859;V1.FI33_GL0049087;O2.CD1-0-PT_GL0029830;MH0443_GL0140863;MH0288_GL0173127;V1.UC54-4_GL0077962;V1.UC56-0_GL0053644;V1.FI13_GL0086695;O2.UC27-1_GL0109879;V1.FI17_GL0021386;DOM022_GL0078728;O2.UC11-1_GL0016225;O2.UC37-2_GL0007683;MH0023_GL0006468;ED10A_GL0133928;MH0049_GL0020842;MH0406_GL0219381;MH0276_GL0194965;MH0169_GL0016164;V1.UC16-0_GL0065590;O2.UC12-2_GL0107006;V1.UC27-0_GL0123521;N026A_GL0028243;MH0442_GL0147354;V1.UC50-1_GL0054526;MH0370_GL0139978;T2D-62A_GL0034720;V1.FI34_GL0071137;DOM026_GL0077291;HT25A_GL0114329;V1.FI36_GL0253676;742723.HMPREF9477_01612;V1.UC58-0_GL0041447;MH0341_GL0046022;MH0101_GL0066236;MH0062_GL0041404;MH0001_GL0006329;MH0462_GL0073774;MH0014_GL0071969;V1.FI34_GL0105829;V1.CD7-4_GL0038593;V1.CD21-0_GL0021595;O2.UC48-0_GL0270855;O2.UC27-0_GL0013604;O2.CD1-0-PT_GL0138553;MH0308_GL0100900;MH0126_GL0114036;MH0006_GL0074053;553973.CLOHYLEM_06860;T2D-11A_GL0064722;V1.UC11-5_GL0086461;T2D-47A_GL0124908;MH0370_GL0066481;MH0336_GL0087726;O2.UC35-0_GL0108787;O2.UC15-1_GL0118781;MH0253_GL0030088;MH0147_GL0113697;MH0143_GL0007800;MH0053_GL0010036;V1.FI18_GL0058702;V1.CD1-3-PN_GL0068446;N032A_GL0029539;O2.UC2-2_GL0106363;MH0188_GL0181100;V1.CD3-0-PN_GL0115992;T2D-62A_GL0022694;MH0108_GL0009624;MH0143_GL0108173;MH0012_GL0137348;MH0333_GL0096578;O2.UC15-0_GL0079293;MH0074_GL0046366;MH0188_GL0098610;MH0006_GL0060218;N001A_GL0050567;MH0131_GL0068838;MH0193_GL0112552;MH0421_GL0128151;O2.UC28-2_GL0085016;MH0369_GL0010124;V1.UC55-0_GL0193998;T2D-29A_GL0011544;HT25A_GL0012477;V1.UC50-1_GL0046196;O2.UC40-1_GL0059887;MH0188_GL0154078;V1.FI06_GL0055058;V1.UC13-3_GL0030652;V1.UC2-0_GL0141371;N088A_GL0034085;O2.UC56-2_GL0069122;O2.UC48-0_GL0273755;V1.CD32-0_GL0073359;MH0113_GL0016669;V1.UC50-1_GL0057251;T2D-19A_GL0091766;V1.CD21-0_GL0035674;SZEY-69A_GL0061907;V1.UC54-0_GL0038524;O2.CD3-0-PT_GL0120128;V1.UC11-5_GL0070424;MH0335_GL0034625;MH0149_GL0119311;O2.UC41-1_GL0142121;V1.UC43-0_GL0069894;V1.CD54-0_GL0001980;T2D-62A_GL0001854;O2.UC32-1_GL0023761;O2.UC26-0_GL0060241;MH0372_GL0033821;MH0247_GL0077536;MH0200_GL0131345;MH0126_GL0019630;MH0055_GL0058279;MH0009_GL0072426;MH0011_GL0057515;V1.FI18_GL0015550;V1.CD25-0_GL0003449;T2D-61A_GL0024747;SZEY-69A_GL0079446;SZEY-30A_GL0004242;O2.UC7-1_GL0167121;O2.UC15-1_GL0087727;V1.UC47-4_GL0111529;O2.CD3-0-PT_GL0181003;MH0313_GL0086206;MH0069_GL0043410;MH0006_GL0085662;MH0447_GL0129946;V1.CD32-0_GL0066733;O2.UC7-0_GL0060903;MH0236_GL0037542;MH0005_GL0007432;V1.CD3-0-PN_GL0042148;O2.UC19-1_GL0032354;MH0211_GL0126082;MH0316_GL0064964;457421.CBFG_00865;O2.UC23-2_GL0103230;MH0003_GL0033966;V1.CD12-3_GL0051196;MH0130_GL0029851;MH0411_GL0199009;MH0087_GL0049579;MH0122_GL0093384;V1.CD12-3_GL0067367;V1.CD12-3_GL0115403;MH0058_GL0038755;NOF005_GL0020522;V1.FI06_GL0055057;MH0102_GL0113489;V1.UC5-3_GL0112248;MH0389_GL0065319;O2.UC27-2_GL0017638;O2.UC30-1_GL0175259;MH0343_GL0007645;V1.CD16-0_GL0047181;O2.CD3-0-PT_GL0150722;V1.CD34-0_GL0021411;O2.UC41-1_GL0196163;V1.UC35-4_GL0135802;MH0374_GL0119618;V1.UC16-0_GL0066099;MH0462_GL0042775;V1.CD29-0_GL0054343;V1.UC7-0_GL0004944;O2.UC8-1_GL0026491;T2D-31A_GL0082013;MH0222_GL0185070;MH0172_GL0089657;MH0239_GL0163324;MH0145_GL0108430;MH0035_GL0050729;MH0420_GL0074748;MH0239_GL0043338;HT14A_GL0073584;MH0006_GL0042066;MH0011_GL0000106;MH0370_GL0072835;MH0007_GL0044284;MH0393_GL0131614;MH0318_GL0148011;V1.FI05_GL0051746;MH0370_GL0033515;MH0182_GL0099446;MH0002_GL0026106;DLF012_GL0034026;MH0370_GL0140797;MH0275_GL0169721	6	1	16.602	2198700000	40496000	248750000	215630000	48445000	199400000	162820000	74169000	212530000	63771000	211520000	278720000	258010000	156770000	27690000				711
MH0002_GL0006187;T2D-106A_GL0088687;DLM019_GL0045389;T2D-70A_GL0001612;MH0224_GL0051355;MH0451_GL0193474	7	0	1.9954	38167000	0	0	0	0	9703900	0	0	13318000	0	0	0	0	0	15145000				712
MH0002_GL0007103;MH0440_GL0065726;DOM022_GL0070746	12	0	67.795	6163200000	394560000	363250000	606930000	459610000	514210000	473380000	393090000	573170000	191280000	586960000	411790000	403780000	571620000	219600000				713
MH0007_GL0043266;T2D-47A_GL0000284;N038A_GL0117566;T2D-6A_GL0110733;T2D-135A_GL0108475;NOF013_GL0063949;MH0010_GL0023330;MH0003_GL0073585;MH0441_GL0137196;MH0407_GL0016361;MH0321_GL0003773;MH0281_GL0049402;MH0275_GL0107520;MH0247_GL0138496;MH0025_GL0014483;MH0012_GL0210964;T2D-26A_GL0044866;MH0192_GL0088690;MH0006_GL0136040;MH0002_GL0007769	1	1	5.0741	183750000	15213000	11233000	20397000	16998000	17159000	12313000	23128000	14121000	5769800	12275000	8777900	0	26366000	0				714
MH0002_GL0008496;V1.UC55-0_GL0041876;MH0328_GL0056947;V1.UC17-2_GL0085071;MH0406_GL0121417;MH0250_GL0236082	6	2	10.074	763010000	73132000	55606000	23690000	43364000	74542000	40331000	70766000	43366000	62248000	55168000	58011000	80755000	42534000	39494000				715
MH0002_GL0008497;O2.UC19-2_GL0112908;V1.UC17-2_GL0085072;MH0297_GL0021972	10	2	84.324	3386400000	294030000	244430000	153170000	245690000	212820000	239660000	220750000	231280000	277620000	218360000	306130000	376880000	139650000	225960000				716
MH0002_GL0009485;V1.UC17-2_GL0002372;O2.UC19-2_GL0054064;V1.FI05_GL0045183;MH0390_GL0205296;MH0348_GL0088786;MH0233_GL0005078;MH0229_GL0130926;MH0229_GL0068571;V1.FI14_GL0198897;MH0169_GL0141012;MH0026_GL0009716;V1.UC50-1_GL0109276;V1.UC35-4_GL0112521;V1.UC13-3_GL0037976;V1.UC13-0_GL0075204;V1.UC11-5_GL0044317;V1.FI05_GL0048539;V1.FI04_GL0164277;SZEY-62A_GL0035766;O2.UC7-1_GL0095173;O2.UC48-1_GL0062171;MH0441_GL0008080;MH0399_GL0009429;MH0370_GL0128223;MH0370_GL0085635;MH0358_GL0164561;MH0266_GL0074847;MH0262_GL0018963;MH0239_GL0074121;MH0229_GL0118202;MH0203_GL0139893;MH0182_GL0078367;MH0175_GL0051940;MH0150_GL0155730;MH0131_GL0014608;MH0101_GL0081769;MH0101_GL0069658;MH0098_GL0037502;MH0088_GL0068930;MH0066_GL0066462;MH0053_GL0065839;MH0031_GL0020888;MH0009_GL0072540;HT14A_GL0034172;537013.CLOSTMETH_02429;445972.ANACOL_00443;N066A_GL0104864;MH0406_GL0056266;MH0373_GL0036202;MH0077_GL0013197;MH0012_GL0130792;MH0149_GL0023852;MH0370_GL0050614;MH0011_GL0097686;O2.UC36-0_GL0152481;MH0374_GL0047045	3	1	16.23	768330000	56720000	42076000	32866000	68859000	40211000	71491000	51921000	48374000	87242000	68449000	39352000	46606000	62316000	51844000				717
MH0002_GL0009841;T2D-135A_GL0010043;O2.UC8-0_GL0057132;NOF013_GL0064613;MH0152_GL0004712;MH0265_GL0071054;MH0192_GL0123755;MH0014_GL0030560;MH0281_GL0132498;V1.UC41-0_GL0113980;T2D-73A_GL0013668;MH0435_GL0051794;O2.UC1-1_GL0134883;MH0330_GL0172048;MH0407_GL0081766;MH0079_GL0050163;MH0055_GL0030222;V1.UC27-0_GL0000253;SZEY-07A_GL0112538;T2D-134A_GL0004404;O2.UC50-0_GL0060108;MH0415_GL0042044;MH0238_GL0011580;T2D-109A_GL0032866;MH0243_GL0102904;MH0006_GL0209299;MH0267_GL0122654;MH0199_GL0025599;MH0111_GL0061804;MH0013_GL0025149;DOM005_GL0051047;O2.UC30-1_GL0163449;MH0314_GL0104199;MH0046_GL0048031;MH0140_GL0020192;MH0069_GL0017231;MH0302_GL0072158;MH0328_GL0031503;T2D-65A_GL0049836;T2D-110A_GL0058920;MH0055_GL0035750;MH0381_GL0140524;MH0070_GL0006453;MH0351_GL0072876;T2D-113A_GL0020599;T2D-135A_GL0016490;MH0094_GL0027605;MH0026_GL0041574;DLF004_GL0031037;MH0057_GL0000192;MH0388_GL0148142;MH0298_GL0123859;MH0124_GL0122318;MH0050_GL0014167;MH0101_GL0003304;SZEY-20A_GL0050451;MH0078_GL0007161;MH0185_GL0064200;MH0181_GL0068592;MH0057_GL0022749;MH0055_GL0013614;MH0047_GL0011420;MH0011_GL0034131;MH0006_GL0176744;MH0118_GL0024522;MH0047_GL0028578;MH0243_GL0012588;T2D-8A_GL0053860;MH0427_GL0098302;V1.CD55-0_GL0129856;MH0400_GL0047427;MH0398_GL0032464;MH0090_GL0058453;T2D-51A_GL0128580;MH0314_GL0012032;MH0298_GL0134849;V1.CD3-3-PN_GL0045173;MH0107_GL0021775;MH0168_GL0025960;MH0222_GL0100285;MH0163_GL0045888;MH0163_GL0028560;ED12A_GL0067569;DLM018_GL0006071;MH0189_GL0163186;MH0041_GL0032028;MH0092_GL0147697;MH0404_GL0170339;MH0124_GL0029444;MH0030_GL0048600;MH0009_GL0003131;MH0356_GL0173057;MH0274_GL0164372;MH0020_GL0052168;MH0069_GL0071541;O2.CD2-0_GL0030466;O2.CD2-0_GL0009323;MH0357_GL0136546;MH0283_GL0069482;MH0283_GL0063418;MH0152_GL0018653;MH0012_GL0078694;MH0001_GL0003377;O2.UC43-0_GL0043980;MH0165_GL0057684;DOF012_GL0048370;NLM029_GL0026158;V1.UC57-0_GL0201076;MH0430_GL0172510;MH0452_GL0102213;V1.CD6-0-PT_GL0184640;MH0055_GL0014632;T2D-8A_GL0045462;O2.UC24-2_GL0044972;MH0452_GL0214285;MH0158_GL0034168;T2D-22A_GL0108287;O2.UC24-2_GL0016365;MH0337_GL0133789;MH0298_GL0106263;MH0046_GL0031580;MH0006_GL0096012;MH0004_GL0016217;MH0361_GL0122367;MH0337_GL0059689;MH0246_GL0062213;MH0415_GL0228511;553171.HMPREF0648_1033;MH0337_GL0047591;MH0083_GL0056938;MH0283_GL0072386;MH0355_GL0062959;MH0400_GL0097085;V1.CD6-0-PN_GL0101940;MH0044_GL0040339;MH0261_GL0054588;O2.UC12-1_GL0064765	10	0	3.028	75460000	5073900	7146400	5229200	18763000	5027700	2337100	3384700	0	5869600	1151400	6502600	8400500	6574400	0				718
MH0002_GL0010043	2	2	5.0152	55362000	12238000	0	0	16157000	0	0	17296000	0	0	0	9671500	0	0	0				719
MH0002_GL0010047;NOF013_GL0079118;T2D-135A_GL0101847;MH0113_GL0055212;MH0028_GL0009995	2	2	7.5138	58803000	11849000	0	11383000	11166000	0	0	0	8002400	0	10086000	0	6315700	0	0				720
MH0002_GL0010168;MH0260_GL0142566;MH0176_GL0076898;MH0227_GL0038689;O2.UC19-2_GL0081175;MH0365_GL0064238;MH0028_GL0023418	5	3	7.7293	362920000	32436000	40368000	16501000	7642100	13055000	11808000	9600000	38302000	60091000	14965000	19875000	39244000	14146000	44890000				721
MH0193_GL0011067;MH0002_GL0012203	5	0	5.2923	115200000	0	9256500	13127000	0	14468000	17908000	14569000	0	0	10498000	11430000	12304000	11644000	0				722
MH0002_GL0012239	2	2	4.5663	343560000	40856000	55381000	0	45666000	11149000	0	46304000	6055400	13100000	0	64700000	60346000	0	0				723
MH0185_GL0017127;MH0002_GL0012414;MH0243_GL0088998;V1.UC12-4_GL0024499;MH0314_GL0140738;V1.FI12_GL0098330;MH0328_GL0134135;V1.CD3-3-PN_GL0013818;MH0438_GL0195396;MH0124_GL0031550;MH0101_GL0082094;MH0083_GL0032673;MH0050_GL0079564;V1.UC14-1_GL0083658;T2D-135A_GL0108693;MH0381_GL0132477;MH0283_GL0067731;MH0274_GL0043747;MH0222_GL0018108;MH0152_GL0070310;MH0030_GL0001892;MH0006_GL0133184;DOM005_GL0003478;T2D-135A_GL0060727;MH0192_GL0093160;MH0126_GL0013529;MH0070_GL0007635;MH0069_GL0000113;MH0055_GL0039369;862962.BF638R_3867;DLM008_GL0010972;MH0407_GL0223537;MH0189_GL0082953;MH0238_GL0030091;MH0189_GL0088793;V1.UC11-5_GL0080553;V1.UC57-0_GL0152104;V1.UC35-0_GL0127372;O2.UC44-2_GL0145677;O2.UC44-2_GL0057786	5	0	1.5758	226770000	21834000	14657000	17889000	21867000	18389000	14378000	18312000	14511000	7799700	13638000	19801000	17410000	18072000	8211800				724
MH0002_GL0012727;V1.CD12-0_GL0008327;NLF006_GL0031590;N085A_GL0024924;MH0038_GL0046980;MH0016_GL0077606;MH0004_GL0002697;DOM005_GL0031877;T2D-133A_GL0095372;T2D-113A_GL0055790;MH0381_GL0069622;V1.FI15_GL0028989;MH0399_GL0106533;MH0267_GL0153111;MH0071_GL0058849;MH0003_GL0011893;MH0068_GL0021421;MH0051_GL0044217;MH0003_GL0084817;MH0012_GL0126459;MH0333_GL0131621;NOF010_GL0090745;MH0198_GL0096320;MH0012_GL0211131;BGI-28A_GL0073768;MH0230_GL0168653;O2.UC41-1_GL0075092	8	1	41.542	2010500000	158200000	134090000	172750000	195030000	139440000	145190000	195060000	199110000	77432000	162590000	100270000	105370000	177490000	48428000				725
MH0002_GL0012728;T2D-135A_GL0047520;T2D-105A_GL0027724;V1.FI29_GL0150463;MH0057_GL0046895;MH0006_GL0071775;MH0093_GL0042597;MH0430_GL0039152;V1.UC40-0_GL0023735;V1.UC40-1_GL0104660;T2D-134A_GL0000485;MH0257_GL0150519;V1.FI09_GL0006913;V1.UC41-0_GL0079977;MH0145_GL0003681;T2D-57A_GL0016629;MH0308_GL0146570;MH0175_GL0066803;T2D-109A_GL0064269;O2.UC28-1_GL0082444;MH0429_GL0081868;MH0386_GL0002648;V1.FI24_GL0167979;DLM014_GL0030248;MH0257_GL0033086;N038A_GL0064397;MH0132_GL0005234;MH0229_GL0091825;MH0047_GL0024145;MH0355_GL0191685;MH0407_GL0166452;MH0415_GL0040980;T2D-189A_GL0084043;O2.CD2-0_GL0070086;MH0367_GL0134350;MH0267_GL0034508;MH0338_GL0084212;MH0432_GL0005587;MH0337_GL0001869;MH0329_GL0207804;MH0252_GL0063944;MH0298_GL0160720;MH0133_GL0024275;V1.CD22-0_GL0111254;MH0369_GL0069669;MH0054_GL0009841;ED16A_GL0121419;DOM016_GL0045856;O2.UC28-0_GL0161047;DOM017_GL0042916;MH0400_GL0039757;ED13A_GL0041948;MH0118_GL0093739;MH0410_GL0140907;MH0458_GL0025067;MH0458_GL0107700;MH0357_GL0193583;MH0415_GL0103881;MH0381_GL0069621;MH0181_GL0114215;MH0323_GL0178375;MH0012_GL0097900;O2.UC43-0_GL0017667;O2.CD2-0_GL0088552;O2.CD2-0_GL0069930;MH0450_GL0139306;NLF006_GL0012661;MH0012_GL0211132;MH0274_GL0129008;NOF010_GL0090746;MH0452_GL0040564;MH0186_GL0014707;V1.FI36_GL0095092;MH0161_GL0030423;O2.UC7-1_GL0050300;V1.UC49-1_GL0004161;V1.UC37-0_GL0048549;MH0441_GL0125315;O2.CD3-0-PT_GL0139813;V1.FI17_GL0138098;V1.UC17-2_GL0130102;MH0262_GL0073241;MH0407_GL0064667;MH0187_GL0124934;N075A_GL0127107;MH0011_GL0055306;MH0431_GL0007401;MH0427_GL0065417;MH0400_GL0003772;MH0006_GL0173506;MH0221_GL0057406;MH0243_GL0059090;V1.FI04_GL0129298;MH0107_GL0067183;MH0257_GL0073593;MH0274_GL0041461;MH0011_GL0103450;679189.HMPREF9019_1209;MH0374_GL0051637	8	1	21.448	814400000	103160000	61870000	56749000	125950000	58596000	45488000	50610000	40383000	22203000	57583000	55297000	56323000	58123000	22058000				726
MH0025_GL0074205;O2.UC28-1_GL0151821;O2.UC23-1_GL0056535;MH0091_GL0065357;MH0338_GL0055680;O2.UC50-2_GL0022479;N085A_GL0033847;MH0435_GL0158220;MH0381_GL0145757;MH0358_GL0042829;MH0321_GL0079571;MH0283_GL0026999;MH0261_GL0030691;MH0187_GL0052193;MH0057_GL0010432;V1.UC41-0_GL0059095;V1.CD27-0_GL0059985;T2D-110A_GL0101141;T2D-109A_GL0095958;MH0415_GL0182352;MH0198_GL0195501;MH0192_GL0119841;MH0050_GL0008423;MH0002_GL0012823;NOF013_GL0028438;MH0161_GL0100904;MH0006_GL0113601;MH0264_GL0110229;ED13A_GL0068350	2	1	4.5801	232680000	35731000	20931000	0	27058000	0	0	29288000	25707000	8004700	23768000	31794000	20589000	0	9808400				727
T2D-135A_GL0075840;MH0002_GL0013099;MH0004_GL0031834;MH0003_GL0034585;MH0281_GL0120438;NOF013_GL0033844;MH0260_GL0121822;MH0113_GL0116034;MH0013_GL0019300;T2D-134A_GL0083927;MH0337_GL0088020;MH0381_GL0126824;MH0430_GL0193458;MH0451_GL0151118;V1.CD38-0_GL0114224;T2D-48A_GL0012589;T2D-135A_GL0043930;O2.UC46-0_GL0126771;O2.UC15-0_GL0021107;NOF010_GL0075346;N087A_GL0020421;N085A_GL0020417;N035A_GL0017766;MH0414_GL0117906;MH0407_GL0147729;MH0379_GL0054315;MH0333_GL0022045;MH0267_GL0029837;MH0239_GL0099304;MH0222_GL0056370;MH0198_GL0126654;MH0143_GL0006402;MH0101_GL0066589;MH0101_GL0007234;MH0094_GL0086693;MH0092_GL0143110;MH0074_GL0064587;MH0061_GL0010155;MH0054_GL0056736;MH0020_GL0000493;MH0016_GL0086608;MH0013_GL0026320;MH0012_GL0191715;MH0011_GL0057254;MH0004_GL0003780;MH0003_GL0010546;MH0002_GL0070998;DOM005_GL0007228;SZEY-35A_GL0021658;O2.UC1-1_GL0014151;MH0435_GL0046573;MH0314_GL0116819;MH0057_GL0015470;MH0055_GL0051750;MH0046_GL0042680;MH0011_GL0068231;MH0005_GL0018500;MH0195_GL0010723;V1.UC57-0_GL0130044;MH0402_GL0035930;V1.UC26-0_GL0102120;MH0328_GL0109224;MH0055_GL0036590;MH0004_GL0004161;MH0012_GL0177289;MH0351_GL0081275;MH0238_GL0164138;MH0415_GL0140231;T2D-118A_GL0008830;V1.UC41-0_GL0093537	5	1	1.566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				728
O2.UC31-1_GL0010388;MH0250_GL0272449;MH0002_GL0013187;MH0318_GL0013315;MH0309_GL0027010;MH0429_GL0166929;MH0374_GL0034464;MH0196_GL0238460;MH0413_GL0213187	2	0	1.4664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				729
MH0002_GL0013238;V1.UC57-0_GL0175016;DOM022_GL0049007;553171.HMPREF0648_0266	9	2	18.996	943410000	186970000	62947000	18707000	245960000	19912000	0	209260000	13329000	16715000	16097000	70037000	70218000	13261000	0				730
T2D-135A_GL0000101;MH0002_GL0016290;NOF013_GL0022051;MH0039_GL0024538;MH0333_GL0040871;MH0101_GL0045006;MH0101_GL0012093;V1.UC26-4_GL0194882;T2D-48A_GL0054513;T2D-26A_GL0044186;T2D-133A_GL0043311;T2D-113A_GL0030796;N087A_GL0047227;N085A_GL0008138;MH0198_GL0201076;MH0187_GL0014059;MH0152_GL0068806;MH0143_GL0104052;MH0039_GL0008801;MH0038_GL0006938;MH0016_GL0015480;MH0011_GL0097746;MH0011_GL0059104;MH0004_GL0034404;MH0004_GL0014968;DOM005_GL0004780;T2D-8A_GL0089566;MH0402_GL0204687;MH0128_GL0012447;O2.UC50-2_GL0204902;MH0381_GL0127335;NOF010_GL0033968;MH0302_GL0069911;MH0012_GL0224404;MH0260_GL0125006;MH0435_GL0198767;MH0321_GL0127569;MH0093_GL0034683;MH0091_GL0020742;MH0004_GL0001932;MH0003_GL0069499;MH0314_GL0033313;MH0243_GL0014692;MH0055_GL0072163;V1.UC18-0_GL0045338;DOM022_GL0078051;DLM005_GL0006247;V1.UC2-0_GL0079083;O2.UC26-2_GL0009289;V1.CD38-0_GL0155199;T2D-73A_GL0022015;T2D-135A_GL0001944;MH0267_GL0041451;MH0182_GL0099798;MH0068_GL0025732;MH0054_GL0020647;MH0013_GL0004103;O2.UC48-0_GL0266404;MH0057_GL0016545;702443.CUY_0993;MH0006_GL0167402;MH0445_GL0001199;MH0443_GL0020383;T2D-45A_GL0134912;MH0076_GL0052446;MH0102_GL0102672;O2.UC9-2_GL0073192	8	3	13.96	426380000	75898000	27741000	11641000	111300000	16988000	15768000	52423000	14697000	0	14795000	27988000	30446000	26696000	0				731
MH0002_GL0016379;N085A_GL0088083	31	0	43.427	336830000	46572000	15392000	14838000	72501000	19938000	14962000	44209000	15097000	0	19441000	16813000	16520000	22022000	18524000				732
MH0264_GL0018480;MH0002_GL0017842	1	1	7.5436	16320000	0	0	0	0	8438100	0	0	0	0	7882100	0	0	0	0				733
MH0002_GL0018564;MH0189_GL0016152;O2.UC58-2_GL0072245	9	0	1.6535	98263000	0	12278000	8612400	0	6905300	0	13881000	0	0	0	0	51422000	0	5163400				734
V1.CD24-0_GL0068104;O2.UC58-0_GL0069137;MH0185_GL0078808;O2.UC48-1_GL0247604;MH0377_GL0078559;MH0318_GL0111722;MH0266_GL0132442;MH0257_GL0088715;MH0243_GL0015991;MH0222_GL0050397;MH0193_GL0173553;MH0177_GL0098193;MH0097_GL0075315;MH0062_GL0009693;MH0039_GL0062906;MH0025_GL0027350;MH0006_GL0193611;MH0002_GL0018703;MH0197_GL0127803;N038A_GL0066628;MH0443_GL0191111	1	1	3.3532	66749000	8662700	6784000	0	11331000	8517100	10080000	7046300	6066200	0	8260900	0	0	0	0				735
V1.UC54-0_GL0238365;MH0050_GL0001199;MH0011_GL0017483;MH0002_GL0018982;V1.CD3-3-PN_GL0051030;MH0189_GL0028636;MH0309_GL0002510;MH0097_GL0062642;MH0041_GL0038627;MH0153_GL0065865;MH0192_GL0057934;MH0159_GL0097130;V1.FI07_GL0199210	9	0	2.7932	84277000	41067000	0	0	0	0	0	0	0	8865800	0	6732300	16491000	0	11121000				736
O2.UC19-2_GL0085094;MH0002_GL0019453;MH0131_GL0038517;V1.UC17-2_GL0079599	6	6	13.946	785590000	98832000	27789000	26171000	110400000	39210000	5038000	110030000	34545000	56846000	8419300	35897000	153200000	42725000	36479000				737
MH0002_GL0019454	2	1	1.7488	44950000	0	7149800	0	4490100	0	0	10480000	3987900	6683200	0	0	2726000	0	9432300				738
MH0089_GL0053839;MH0002_GL0020592;MH0230_GL0062970;V1.FI14_GL0240096;MH0149_GL0104375	2	2	5.7857	292620000	11203000	18387000	39564000	18580000	32843000	32265000	10114000	25438000	0	30451000	20235000	23887000	29648000	0				739
MH0288_GL0115263;MH0002_GL0021758;NLF012_GL0016901;O2.UC19-2_GL0108739;MH0015_GL0034811;706433.HMPREF9430_00123	7	0	3.7199	199640000	7409800	15744000	17537000	8319500	13312000	14248000	8661300	19305000	16951000	17739000	15956000	12439000	13411000	18611000				740
MH0002_GL0022606;MH0104_GL0085229;MH0442_GL0091607	2	2	4.325	81819000	0	0	39215000	0	14227000	9412700	0	8388800	0	0	0	0	10576000	0				741
MH0002_GL0022747;T2D-187A_GL0096497;MH0389_GL0091261;MH0345_GL0018441	18	0	45.853	7805600000	340120000	229360000	1198700000	309250000	859370000	1008000000	250430000	895450000	35749000	1016100000	518720000	237080000	869650000	37539000				742
MH0002_GL0023364;MH0389_GL0207769;DOM022_GL0012855;MH0028_GL0087503	7	1	1.5392	108020000	13046000	11390000	0	0	10525000	11849000	16204000	0	3640300	10959000	11971000	13588000	4852200	0				743
MH0002_GL0023812;MH0043_GL0069581	12	3	63.143	2410500000	220640000	211910000	127110000	192960000	156510000	114630000	234760000	144940000	184350000	122970000	194270000	209810000	129300000	166380000				744
O2.UC28-1_GL0036235;MH0430_GL0201396;MH0222_GL0049611;MH0195_GL0106954;MH0189_GL0070591;MH0002_GL0024118	3	1	-2	72801000	7022900	19119000	0	0	0	0	6913800	0	0	0	17777000	20305000	0	1662900	+			745
