Protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity P1_GLU	Intensity P10_FOS	Intensity P11_CYC	Intensity P12_GLU	Intensity P13_PBS	Intensity P14_CYC	Intensity P2_GLU	Intensity P3_PBS	Intensity P4_BAS1	Intensity P5_CYC	Intensity P6_FOS	Intensity P7_FOS	Intensity P8_PBS	Intensity P9_BAS2	Only identified by site	Reverse	Potential contaminant	id
DLM011_GL0017613;V1.UC57-0_GL0166353;O2.UC24-1_GL0073774;V1.UC15-0_GL0044586;T2D-11A_GL0118486;T2D-118A_GL0040811;MH0264_GL0108156;O2.UC16-0_GL0002461;T2D-134A_GL0075743;MH0381_GL0154093;MH0298_GL0158488;V1.CD34-0_GL0122519;MH0281_GL0074603;NOF010_GL0053051;MH0025_GL0066774;T2D-45A_GL0107646;MH0083_GL0072846;MH0138_GL0035894;MH0055_GL0048750;T2D-135A_GL0093701;T2D-105A_GL0017199;MH0152_GL0045736;MH0458_GL0151495;O2.CD2-0_GL0005361;O2.UC31-0_GL0005974;MH0185_GL0027261;V1.UC41-0_GL0026205;MH0430_GL0021811;MH0429_GL0079270;MH0405_GL0080807;MH0386_GL0060435;MH0298_GL0033435;MH0132_GL0033851;MH0057_GL0033674;MH0057_GL0008128;MH0006_GL0072811;679189.HMPREF9019_1697;V1.CD6-0-PN_GL0121648;T2D-135A_GL0097061;O2.UC8-0_GL0100017;O2.UC43-0_GL0025755;O2.UC16-1_GL0017953;O2.UC1-1_GL0023501;O2.CD2-0_GL0009177;NOF013_GL0006391;NLF006_GL0031254;N064A_GL0032857;MH0435_GL0113670;MH0427_GL0093577;MH0415_GL0003065;MH0400_GL0105871;MH0357_GL0095856;MH0355_GL0003996;MH0323_GL0011442;MH0314_GL0074258;MH0283_GL0072395;MH0283_GL0019591;MH0264_GL0081135;MH0261_GL0035859;MH0243_GL0051705;MH0238_GL0181645;MH0222_GL0188267;MH0200_GL0190808;MH0187_GL0160477;MH0187_GL0077049;MH0172_GL0056637;MH0117_GL0104666;MH0113_GL0023774;MH0101_GL0019797;MH0092_GL0005724;MH0057_GL0036461;MH0055_GL0073894;MH0047_GL0022392;MH0047_GL0001683;MH0046_GL0023662;MH0012_GL0129926;MH0011_GL0053349;MH0011_GL0016876;MH0010_GL0014220;MH0006_GL0126405;MH0006_GL0107605;MH0006_GL0008853;MH0004_GL0018292;ED13A_GL0080435;866771.HMPREF9296_1696;763034.HMPREF9446_00154;553171.HMPREF0648_1753;457391.HMPREF0105_1662;SZEY-101A_GL0011853;N087A_GL0064174;MH0415_GL0039468;MH0407_GL0120454;MH0198_GL0171615;MH0192_GL0041358;MH0070_GL0040130;MH0069_GL0062102;MH0055_GL0074600;MH0047_GL0004420;V1.CD38-0_GL0142405;T2D-73A_GL0040889;T2D-48A_GL0062971;T2D-139A_GL0084871;T2D-113A_GL0007454;N085A_GL0051700;MH0402_GL0206764;MH0333_GL0040321;MH0267_GL0116332;MH0239_GL0004931;MH0187_GL0017191;MH0143_GL0087624;MH0106_GL0061322;MH0101_GL0026966;MH0054_GL0003526;MH0049_GL0015309;MH0039_GL0044868;MH0037_GL0043831;MH0037_GL0014212;MH0016_GL0074310;MH0013_GL0034209;MH0012_GL0116102;MH0011_GL0067299;MH0006_GL0179703;MH0004_GL0002153;MH0003_GL0053137;MH0002_GL0062208;DOM005_GL0033102;V1.UC10-2_GL0073091;V1.CD6-0-PT_GL0251484;MH0447_GL0261010;MH0404_GL0144931;MH0319_GL0157948;MH0200_GL0080261;MH0126_GL0000273;MH0118_GL0113837;MH0069_GL0067213;MH0053_GL0015436;MH0031_GL0016951;MH0023_GL0020542;MH0018_GL0009009;MH0005_GL0010974;MH0001_GL0001944;ED12A_GL0084317;DOF011_GL0027237;MH0398_GL0194545;MH0357_GL0118449;MH0090_GL0116835;DLM018_GL0013749;MH0457_GL0164982;MH0328_GL0152784;MH0163_GL0008596;ED13A_GL0030143;226186.BT_1729;V1.UC57-0_GL0017826;N075A_GL0120287;MH0150_GL0003988;MH0107_GL0029802;MH0181_GL0056595;MH0274_GL0082993;MH0265_GL0072158;DOM025_GL0018255;MH0287_GL0019117	1	1	2.8372	21957000	0	0	10702000	11255000	0	0	0	0	0	0	0	0	0	0				14
226186.BT_2493;O2.UC34-0_GL0009645;O2.UC22-0_GL0021804;NLM021_GL0077532;DOM001_GL0042947;MH0267_GL0110984;MH0239_GL0059369;MH0012_GL0119768;V1.CD38-0_GL0049446;MH0152_GL0002235;V1.UC28-0_GL0040995;O2.UC36-1_GL0120653;MH0054_GL0084353;MH0198_GL0046230	5	2	4.0527	381000000	10570000	7789500	72106000	13036000	43140000	51005000	11615000	33026000	11285000	34153000	24444000	20274000	34186000	14366000				15
226186.BT_4245	2	2	7.0446	303240000	0	0	59176000	0	63889000	17067000	0	55618000	0	48955000	0	0	54328000	4206700				16
226186.BT_4247;MH0094_GL0012628;MH0013_GL0014313	21	20	167.67	3243000000	28677000	12890000	532190000	20704000	591790000	424020000	14488000	447700000	26873000	560340000	6614400	12169000	520760000	43826000				17
226186.BT_4296	3	3	41.54	257170000	0	40685000	42682000	2697200	22693000	25173000	0	38666000	0	55748000	0	0	28822000	0				18
V1.UC26-4_GL0097679;T2D-70A_GL0095105;V1.UC35-4_GL0130453;MH0239_GL0129758;MH0239_GL0039401;T2D-189A_GL0077298;MH0457_GL0104575;MH0183_GL0083787;V1.CD35-1_GL0007203;V1.UC26-0_GL0138846;MH0357_GL0010799;V1.FI01_GL0238271;V1.UC49-1_GL0083080;MH0082_GL0045832;MH0382_GL0123981;V1.CD2-0-PN_GL0055330;MH0357_GL0062972;SZEY-103A_GL0022196;O2.UC55-0_GL0099862;MH0397_GL0064608;MH0457_GL0113717;T2D-25A_GL0104446;MH0383_GL0026847;V1.CD3-0-PN_GL0030964;V1.UC38-4_GL0129356;MH0339_GL0077934;MH0430_GL0045802;MH0096_GL0030533;V1.CD54-0_GL0079541;T2D-178A_GL0090832;MH0397_GL0052227;O2.UC21-1_GL0171724;O2.UC40-2_GL0071443;MH0402_GL0116162;MH0340_GL0182240;MH0402_GL0199352;MH0224_GL0110246;DLM013_GL0049162;MH0154_GL0086290;MH0250_GL0046536;MH0031_GL0041420;O2.UC47-1_GL0177728;MH0389_GL0186756;MH0143_GL0017244;V1.CD3-3-PN_GL0053751;V1.UC51-4_GL0087195;O2.CD3-0-PT_GL0071986;MH0250_GL0103454;MH0203_GL0151353;MH0328_GL0175878;MH0238_GL0156525;MH0276_GL0053955;MH0451_GL0230161;MH0147_GL0113893;MH0447_GL0210232;MH0326_GL0032628;MH0174_GL0104861;MH0358_GL0143958;MH0349_GL0019909;V1.UC9-0_GL0046157;V1.UC38-4_GL0017597;MH0197_GL0025811;N088A_GL0127867;MH0402_GL0186467;NLM031_GL0086785;V1.UC16-0_GL0004449;V1.FI26_GL0169678;O2.UC2-1_GL0051647;MH0308_GL0056314;MH0196_GL0152276;V1.UC55-0_GL0045847;NLF006_GL0044360;MH0290_GL0146290;MH0276_GL0061470;MH0091_GL0106651;DLF003_GL0032079;V1.CD46-0_GL0086420;V1.CD34-0_GL0174237;T2D-26A_GL0039129;NOF012_GL0055419;MH0305_GL0083921;MH0253_GL0052809;BGI003A_GL0086098;V1.UC38-4_GL0118030;V1.CD31-0_GL0064372;O2.UC21-2_GL0065505;NOF008_GL0052337;MH0386_GL0137943;MH0356_GL0180839;MH0327_GL0043604;MH0075_GL0045725;T2D-11A_GL0010978;MH0450_GL0022974;MH0150_GL0060049;MH0013_GL0037018;V1.UC42-0_GL0011120;O2.UC12-1_GL0004687;N103A_GL0003640;N083A_GL0083520;MH0448_GL0219416;MH0247_GL0087859;MH0157_GL0067280;V1.FI01_GL0171403;V1.CD52-0_GL0088078;T2D-203A_GL0014373;SZEY-09A_GL0028188;O2.UC6-1_GL0084908;O2.UC36-0_GL0011236;O2.UC22-1_GL0012857;MH0425_GL0140783;MH0422_GL0205591;MH0370_GL0101642;MH0361_GL0079066;MH0350_GL0120869;MH0220_GL0125763;MH0203_GL0055048;MH0197_GL0126360;MH0144_GL0041241;MH0053_GL0015772;MH0013_GL0020009;DOF002_GL0039909;O2.UC27-0_GL0095811;MH0442_GL0209763;MH0402_GL0068321;MH0379_GL0016696;MH0378_GL0073510;MH0332_GL0048662;MH0026_GL0023646;O2.UC13-1_GL0090062;MH0356_GL0170950;MH0253_GL0058903;MH0200_GL0109612;MH0187_GL0049928;MH0131_GL0063427;MH0115_GL0016239;V1.CD3-0-PN_GL0084963;MH0416_GL0004121;MH0413_GL0204914;MH0360_GL0057071;MH0197_GL0059517;MH0192_GL0001438;MH0189_GL0122240;MH0147_GL0093188;DOM019_GL0019069;V1.FI10_GL0082859;V1.CD21-0_GL0081474;T2D-33A_GL0135954;MH0422_GL0114901;MH0399_GL0111096;MH0268_GL0093838;MH0197_GL0054833;V1.UC42-0_GL0156233;V1.UC41-0_GL0003113;MH0373_GL0156680;MH0147_GL0000112;MH0131_GL0159576;MH0120_GL0059796;V1.CD51-0_GL0134532;V1.CD20-0_GL0140858;T2D-6A_GL0170823;O2.CD2-0_GL0049135;MH0447_GL0099064;MH0440_GL0196238;MH0437_GL0010178;MH0433_GL0143882;MH0407_GL0217720;MH0402_GL0208251;MH0391_GL0136757;MH0303_GL0106566;DOM012_GL0064453;V1.UC58-0_GL0037295;V1.UC41-0_GL0030904;V1.FI20_GL0089724;O2.UC52-2_GL0109228;O2.UC51-2_GL0036078;NLM004_GL0031323;MH0436_GL0098315;MH0373_GL0025759;MH0364_GL0114323;MH0318_GL0057636;MH0315_GL0058751;MH0275_GL0068861;MH0272_GL0141271;MH0220_GL0177141;MH0217_GL0034330;MH0200_GL0134514;MH0012_GL0231341;T2D-57A_GL0020751;MH0252_GL0078105;MH0189_GL0032438;MH0079_GL0039249;MH0043_GL0022233;MH0004_GL0006899;V1.CD46-0_GL0063064;MH0442_GL0122428;V1.FI34_GL0023008;V1.CD38-0_GL0091379;V1.CD3-0-PT_GL0054408;T2D-22A_GL0037807;O2.UC48-1_GL0045646;MH0159_GL0089763;MH0083_GL0087492;ED20A_GL0028110;V1.FI31_GL0009810;V1.FI17_GL0084641;O2.UC13-1_GL0118487;O2.CD2-0_GL0068255;MH0447_GL0014128;MH0382_GL0051068;MH0310_GL0120686;MH0192_GL0038590;V1.UC60-0_GL0002822;V1.FI02_GL0200886;O2.UC8-2_GL0106800;O2.CD3-0-PT_GL0041089;MH0437_GL0179274;MH0399_GL0018519;MH0327_GL0018278;MH0293_GL0190855;MH0293_GL0065147;MH0204_GL0051522;MH0196_GL0122975;MH0193_GL0167140;MH0189_GL0014443;MH0012_GL0163204;MH0006_GL0024766;V1.FI14_GL0244816;V1.FI09_GL0189887;T2D-57A_GL0043669;O2.UC43-0_GL0007820;MH0412_GL0016928;MH0382_GL0024553;MH0358_GL0020522;MH0355_GL0151384;MH0309_GL0105478;MH0184_GL0071331;MH0153_GL0027070;V1.CD51-0_GL0211035;O2.UC49-2_GL0046829;O2.CD3-0-PT_GL0043212;N020A_GL0018958;N020A_GL0006580;MH0448_GL0013128;MH0402_GL0169582;MH0402_GL0005580;MH0260_GL0058844;MH0234_GL0017334;MH0212_GL0169687;MH0203_GL0162028;MH0200_GL0083635;MH0126_GL0041622;MH0059_GL0061493;MH0012_GL0080076;272623.L0300;V1.UC58-0_GL0060477;V1.UC17-2_GL0060489;V1.FI08_GL0102756;MH0374_GL0094059;MH0366_GL0121734;MH0362_GL0065937;MH0355_GL0051928;MH0229_GL0028913;MH0217_GL0089170;MH0206_GL0202491;MH0187_GL0088641;MH0140_GL0005581;V1.FI17_GL0223019;V1.FI17_GL0171791;V1.CD6-0-PT_GL0114164;MH0275_GL0117461;MH0267_GL0203074;MH0244_GL0049400;MH0230_GL0032452;MH0200_GL0099383;MH0193_GL0182411;MH0189_GL0105710;MH0176_GL0119904;MH0110_GL0041613;MH0358_GL0156561;MH0329_GL0123637;MH0175_GL0075239;V1.UC35-4_GL0068841;MH0385_GL0060113;MH0197_GL0178146;MH0075_GL0016101;V1.UC50-1_GL0128507;V1.UC47-0_GL0103462;V1.UC10-2_GL0117161;V1.FI04_GL0201179;MH0329_GL0082048;MH0257_GL0045116;MH0245_GL0087351;MH0189_GL0176133;MH0082_GL0015393;445972.ANACOL_00151;T2D-51A_GL0105482;MH0262_GL0030366;MH0222_GL0026207;MH0220_GL0094303;MH0197_GL0152562;MH0174_GL0055979;MH0012_GL0119068;MH0007_GL0027676;T2D-91A_GL0114663;MH0188_GL0179406;MH0012_GL0117695;V1.UC14-1_GL0024384;MH0355_GL0238321;MH0284_GL0047169;MH0058_GL0013853;DLM019_GL0088202;T2D-57A_GL0076271;MH0455_GL0052895;MH0272_GL0013899;MH0206_GL0225132;MH0040_GL0064184;MH0402_GL0188349;MH0379_GL0082974;MH0373_GL0044775;MH0330_GL0114240;MH0181_GL0014898;MH0154_GL0037783;MH0089_GL0013192;MH0011_GL0013545;MH0003_GL0053321;V1.FI36_GL0051650;MH0151_GL0037984;MH0141_GL0083077;MH0012_GL0126671;411467.BACCAP_02389;V1.FI08_GL0080909;N075A_GL0013287;MH0193_GL0123902;MH0124_GL0142094;MH0006_GL0005419;MH0442_GL0049076;MH0371_GL0195290;MH0288_GL0056647;MH0252_GL0223727;MH0199_GL0179976;MH0161_GL0178828;MH0077_GL0034802;V1.UC58-0_GL0146836;V1.FI08_GL0120126;MH0384_GL0035850;MH0247_GL0118180;MH0197_GL0086865;MH0096_GL0021571;MH0002_GL0001860;V1.UC17-2_GL0042711;NLF011_GL0029148;MH0448_GL0141904;MH0358_GL0141373;MH0195_GL0047869;V1.UC14-1_GL0048024;V1.UC12-4_GL0095373;V1.FI07_GL0088225;V1.CD20-4_GL0051139;MH0358_GL0098176;MH0266_GL0075811;MH0246_GL0028317;T2D-203A_GL0014341;O2.UC58-0_GL0159787;O2.UC44-2_GL0276143;MH0441_GL0101325;MH0329_GL0212983;MH0195_GL0040954;MH0053_GL0052534;V1.UC50-1_GL0013265;T2D-70A_GL0158348;O2.UC48-1_GL0009011;MH0448_GL0241251;MH0329_GL0085660;MH0268_GL0003616;V1.FI17_GL0217490;V1.CD34-0_GL0131778;T2D-106A_GL0079446;MH0382_GL0111257;MH0372_GL0048025;MH0102_GL0094993;V1.UC48-0_GL0041254;MH0382_GL0106761;MH0373_GL0060764;MH0268_GL0181509;MH0003_GL0061057;V1.UC17-2_GL0061309;V1.FI17_GL0075533;O2.UC48-0_GL0050656;MH0384_GL0068942;MH0280_GL0087637;MH0271_GL0143661;MH0160_GL0034384;MH0041_GL0048550;O2.UC34-0_GL0064772;DOM025_GL0047913;DOF008_GL0025711;O2.UC8-1_GL0034605;O2.UC4-2_GL0053570;MH0141_GL0117021;491076.HMPREF0506_0609;MH0348_GL0019870;525306.HMPREF0492_0051;MH0314_GL0108427;T2D-146A_GL0054953;MH0200_GL0112250;V1.FI12_GL0219366;768724.HMPREF9131_1133;V1.CD45-0_GL0152857;MH0400_GL0104590;908339.HMPREF9265_2048;DLM012_GL0032604;T2D-63A_GL0087369;V1.CD7-0-PN_GL0006033;MH0012_GL0211528;MH0197_GL0123570	1	1	1.5277	51827000	0	0	6253300	4092700	6486300	8961600	3629000	9228400	5179600	0	0	0	7996400	0				19
290338.CKO_02111;MH0425_GL0119426	7	1	6.4921	304500000	6793800	10143000	32951000	0	46764000	44336000	0	62324000	0	30949000	13448000	0	56793000	0				20
MH0097_GL0000499;MH0025_GL0008579;MH0014_GL0056165;290338.CKO_02469;ED11A_GL0036371;T2D-31A_GL0106657;V1.FI22_GL0045549	2	2	16.275	136240000	0	0	20071000	0	18138000	21436000	0	25444000	0	22067000	0	0	29087000	0				21
V1.UC21-4_GL0171651;NLM027_GL0074713;MH0260_GL0143404;MH0008_GL0026841;585054.EFER_2581;469595.CSAG_00224;290338.CKO_02724;932676.SGB_04607	1	1	2.3765	39700000	0	0	0	0	0	7248800	0	14990000	0	8137600	0	0	9322900	0				22
290338.CKO_03188;DLM016_GL0024849;585054.EFER_0201;MH0247_GL0050034;T2D-76A_GL0094771;MH0424_GL0136366	1	1	2.2634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				23
