Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Zikai_Growth_stage_metformin_test_20190517_PO6_01	Zikai_Growth_stage_metformin_test_20190517_PO6_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11161	26935	0	29492	24378	0	5114	11081	10668	0	413	37.57	43.76	NaN	8.08	10084	1189269	25587	2.15	1193	4.66	112353	21892	21667	19.49	21.78	2243	10.25	+	0.86544	1.1869	0.58657	0.84014	
Zikai_Growth_stage_metformin_test_20190517_PO6_02	Zikai_Growth_stage_metformin_test_20190517_PO6_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11445	25548	0	27904	23192	0	4712	10013	9690	0	323	35.88	41.78	NaN	6.85	9115	1232244	24253	1.97	1138	4.69	115072	20830	20599	18.1	20.11	2121	10.18	+	0.86829	1.1907	0.57557	0.82048	
Zikai_Growth_stage_metformin_test_20190517_PO6_03	Zikai_Growth_stage_metformin_test_20190517_PO6_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12322	20331	0	21785	18877	0	2908	7830	7679	0	151	35.94	40.68	NaN	5.19	7091	1381491	19244	1.39	981	5.1	125578	17039	16885	13.57	15.28	1652	9.7	+	0.82802	1.1443	0.55073	0.78969	
Zikai_Growth_stage_metformin_test_20190517_PS1_01	Zikai_Growth_stage_metformin_test_20190517_PS1_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11656	24287	0	26455	22119	0	4336	10176	9831	0	345	38.47	44.45	NaN	7.96	9181	1252095	22864	1.83	1206	5.27	116922	19769	19561	16.91	18.65	2097	10.61	+	0.84999	1.1707	0.55773	0.79963	
Zikai_Growth_stage_metformin_test_20190517_PS1_02	Zikai_Growth_stage_metformin_test_20190517_PS1_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10922	27114	0	29348	24880	0	4468	9753	9421	0	332	33.23	37.87	NaN	7.43	8938	1105290	25544	2.31	1424	5.57	111091	22084	21909	19.88	22.11	2477	11.22	+	0.85327	1.173	0.57745	0.82346	
Zikai_Growth_stage_metformin_test_20190517_PS1_03	Zikai_Growth_stage_metformin_test_20190517_PS1_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11079	26966	0	29247	24685	0	4562	11077	10672	0	405	37.87	43.23	NaN	8.88	10027	1149377	25416	2.21	1391	5.47	111881	21931	21698	19.6	21.55	2462	11.23	+	0.85539	1.1846	0.56708	0.81736	
Zikai_Growth_stage_metformin_test_20190517_PS2_01	Zikai_Growth_stage_metformin_test_20190517_PS2_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10557	29619	0	32447	26791	0	5656	12067	11646	0	421	37.19	43.47	NaN	7.44	10968	1123425	28003	2.49	1432	5.11	108975	23802	23529	21.84	24.06	2688	11.29	+	0.86819	1.1967	0.58252	0.83141	
Zikai_Growth_stage_metformin_test_20190517_PS2_02	Zikai_Growth_stage_metformin_test_20190517_PS2_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10547	29284	0	31895	26673	0	5222	11391	11011	0	380	35.71	41.28	NaN	7.28	10300	1056977	27592	2.61	1549	5.61	103143	23523	23312	22.81	25.24	2813	11.96	+	0.89005	1.2182	0.5908	0.83306	
Zikai_Growth_stage_metformin_test_20190517_PS2_03	Zikai_Growth_stage_metformin_test_20190517_PS2_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10870	27978	0	30399	25557	0	4842	12294	11877	0	417	40.44	46.47	NaN	8.61	11159	1146593	26390	2.3	1422	5.39	110540	22741	22515	20.57	22.87	2523	11.09	+	0.87705	1.2091	0.58619	0.8404	
Zikai_Growth_stage_metformin_test_20190517_PS3_01	Zikai_Growth_stage_metformin_test_20190517_PS3_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11922	22453	0	24013	20893	0	3120	9391	9126	0	265	39.11	43.68	NaN	8.49	8553	1303434	21162	1.62	1189	5.62	118587	18686	18528	15.76	17.57	1957	10.47	+	0.86307	1.186	0.5636	0.8014	
Zikai_Growth_stage_metformin_test_20190517_PS3_02	Zikai_Growth_stage_metformin_test_20190517_PS3_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10242	30689	0	33666	27712	0	5954	11051	10725	0	326	32.83	38.7	NaN	5.48	9962	1046099	28966	2.77	1550	5.35	103521	24410	24199	23.58	26.03	2928	12	+	0.8898	1.2212	0.60371	0.85933	
Zikai_Growth_stage_metformin_test_20190517_PS3_03	Zikai_Growth_stage_metformin_test_20190517_PS3_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10404	30132	0	33088	27176	0	5912	11496	11082	0	414	34.74	40.78	NaN	7	10464	1108802	28496	2.57	1466	5.14	110006	24087	23834	21.9	24.31	2739	11.37	+	0.87096	1.2012	0.58904	0.83886	
Zikai_Growth_stage_metformin_test_20190517_PS4_01	Zikai_Growth_stage_metformin_test_20190517_PS4_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10302	30202	0	33244	27160	0	6084	10566	10182	0	384	31.78	37.49	NaN	6.31	9623	1111633	28525	2.57	1456	5.1	111966	24119	23885	21.54	24.14	2704	11.21	+	0.8757	1.208	0.59465	0.85084	
Zikai_Growth_stage_metformin_test_20190517_PS4_02	Zikai_Growth_stage_metformin_test_20190517_PS4_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11158	26695	0	29133	24257	0	4876	11065	10702	0	363	37.98	44.12	NaN	7.44	10021	1160189	25290	2.18	1258	4.97	110653	21676	21464	19.59	21.63	2313	10.67	+	0.86174	1.1906	0.57029	0.81582	
Zikai_Growth_stage_metformin_test_20190517_PS4_03	Zikai_Growth_stage_metformin_test_20190517_PS4_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11563	23812	0	25570	22054	0	3516	9272	9011	0	261	36.26	40.86	NaN	7.42	8448	1268477	22454	1.77	1237	5.51	120625	19671	19521	16.31	18.16	2130	10.83	+	0.86122	1.1813	0.57666	0.82126	
Zikai_Growth_stage_metformin_test_20190517_PS5_01	Zikai_Growth_stage_metformin_test_20190517_PS5_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10980	26934	0	29319	24549	0	4770	9535	9221	0	314	32.52	37.56	NaN	6.58	8716	1173984	25466	2.17	1316	5.17	114958	21871	21675	19.03	21.41	2402	10.98	+	0.86377	1.185	0.58083	0.82411	
Zikai_Growth_stage_metformin_test_20190517_PS5_02	Zikai_Growth_stage_metformin_test_20190517_PS5_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10518	29354	0	32130	26578	0	5552	10588	10232	0	356	32.95	38.5	NaN	6.41	9666	1132369	27855	2.46	1319	4.74	113698	23669	23479	20.82	23.04	2620	11.07	+	0.88078	1.2001	0.60684	0.86005	
Zikai_Growth_stage_metformin_test_20190517_PS5_03	Zikai_Growth_stage_metformin_test_20190517_PS5_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11254	26280	0	28621	23939	0	4682	9923	9600	0	323	34.67	40.1	NaN	6.9	8915	1172733	24779	2.11	1360	5.49	110261	21229	21021	19.25	21.58	2427	11.43	+	0.86366	1.1886	0.57378	0.81619	
Total																			943572	2189466	0	2379824	1999108	0	380716	824092	797998	0	26094	34.63	39.92	NaN	6.85	33016	98412057					9343174	1778948	1760872	19.04	21.19	196866	11.07		0.85636	1.1801	0.57182	0.81745	
