Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Zikai_Growth_stage_metformin_test_20190517_PL1_01	Zikai_Growth_stage_metformin_test_20190517_PL1_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10929	27878	0	30311	25445	0	4866	10039	9793	0	246	33.12	38.49	NaN	5.06	9050	1107185	26119	2.36	1606	6.15	106166	22383	22138	21.08	23.38	2717	12.14	+	0.86742	1.193	0.58005	0.82536	
Zikai_Growth_stage_metformin_test_20190517_PL1_02	Zikai_Growth_stage_metformin_test_20190517_PL1_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		9944	31681	0	34626	28736	0	5890	10247	9925	0	322	29.59	34.54	NaN	5.47	9270	1010852	29789	2.95	1702	5.71	104435	25254	24996	24.18	27.23	3086	12.22	+	0.88376	1.2155	0.60849	0.87015	
Zikai_Growth_stage_metformin_test_20190517_PL1_03	Zikai_Growth_stage_metformin_test_20190517_PL1_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12293	21191	0	22547	19835	0	2712	8735	8491	0	244	38.74	42.81	NaN	9	7932	1246554	19870	1.59	1218	6.13	111020	17654	17484	15.9	17.71	1952	11.06	+	0.82081	1.144	0.53058	0.76446	
Zikai_Growth_stage_metformin_test_20190517_PL2_01	Zikai_Growth_stage_metformin_test_20190517_PL2_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11662	24298	0	26152	22444	0	3708	9909	9627	0	282	37.89	42.89	NaN	7.61	8885	1189660	22819	1.92	1362	5.97	109861	19907	19723	18.12	20.2	2279	11.45	+	0.83494	1.1599	0.54887	0.78752	
Zikai_Growth_stage_metformin_test_20190517_PL2_02	Zikai_Growth_stage_metformin_test_20190517_PL2_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11472	25180	0	27171	23189	0	3982	9749	9368	0	381	35.88	40.4	NaN	9.57	8834	1168042	23626	2.02	1416	5.99	108638	20540	20356	18.91	21.13	2360	11.49	+	0.82305	1.145	0.54531	0.78357	
Zikai_Growth_stage_metformin_test_20190517_PL2_03	Zikai_Growth_stage_metformin_test_20190517_PL2_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11132	26569	0	28772	24366	0	4406	11473	11065	0	408	39.88	45.41	NaN	9.26	10360	1141517	24948	2.19	1455	5.83	107422	21628	21378	20.13	22.14	2455	11.35	+	0.84014	1.1638	0.55734	0.80011	
Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190608042607	Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190608042607	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11096	26968	0	29400	24536	0	4864	10656	10309	0	347	36.24	42.02	NaN	7.13	9620	1081991	25220	2.33	1497	5.94	104884	21683	21436	20.67	22.76	2533	11.68	+	0.84979	1.1784	0.56046	0.80408	
Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190609224342	Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190609224342	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11372	25541	0	27607	23475	0	4132	9859	9543	0	316	35.71	40.65	NaN	7.65	8868	1167762	23986	2.05	1418	5.91	111048	20859	20659	18.78	21.08	2345	11.24	+	0.84776	1.1788	0.56239	0.80542	
Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190612114325	Zikai_Growth_stage_metformin_test_20190517_PL2_03_20190612114325	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11815	22956	0	24517	21395	0	3122	8439	8210	0	229	34.42	38.37	NaN	7.34	7747	1230586	21636	1.76	1234	5.7	113396	19143	18987	16.88	18.84	2042	10.67	+	0.82472	1.1434	0.53991	0.76982	
Zikai_Growth_stage_metformin_test_20190517_PL3_01	Zikai_Growth_stage_metformin_test_20190517_PL3_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11088	26845	0	29094	24596	0	4498	10655	10353	0	302	36.62	42.09	NaN	6.71	9623	1113954	25267	2.27	1450	5.74	105879	21762	21574	20.55	22.9	2553	11.73	+	0.84052	1.1643	0.5558	0.79638	
Zikai_Growth_stage_metformin_test_20190517_PL3_02	Zikai_Growth_stage_metformin_test_20190517_PL3_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10626	29060	0	31819	26301	0	5518	12252	11777	0	475	38.51	44.78	NaN	8.61	11089	1064041	27393	2.57	1447	5.28	104832	23383	23117	22.31	24.48	2593	11.09	+	0.87448	1.2117	0.58232	0.83326	
Zikai_Growth_stage_metformin_test_20190517_PL3_03	Zikai_Growth_stage_metformin_test_20190517_PL3_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11191	26475	0	28775	24175	0	4600	11375	10955	0	420	39.53	45.32	NaN	9.13	10327	1192142	24951	2.09	1366	5.47	112315	21568	21371	19.2	21.46	2329	10.8	+	0.86853	1.1926	0.57452	0.81912	
Zikai_Growth_stage_metformin_test_20190517_PL4_01	Zikai_Growth_stage_metformin_test_20190517_PL4_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		13077	16424	0	17548	15300	0	2248	7892	7713	0	179	44.97	50.41	NaN	7.96	7246	1473705	15494	1.05	819	5.29	128884	13892	13749	10.78	12.03	1280	9.21	+	0.77303	1.0709	0.49112	0.7123	
Zikai_Growth_stage_metformin_test_20190517_PL4_02	Zikai_Growth_stage_metformin_test_20190517_PL4_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11521	24907	0	26874	22940	0	3934	9916	9591	0	325	36.9	41.81	NaN	8.26	9018	1216841	23404	1.92	1363	5.82	113574	20372	20203	17.94	20.05	2293	11.26	+	0.84477	1.1671	0.55645	0.79588	
Zikai_Growth_stage_metformin_test_20190517_PL4_03	Zikai_Growth_stage_metformin_test_20190517_PL4_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11297	26130	0	28373	23887	0	4486	11164	10781	0	383	39.35	45.13	NaN	8.54	10167	1228424	24725	2.01	1265	5.12	115099	21386	21170	18.58	20.71	2243	10.49	+	0.85659	1.1776	0.56965	0.81375	
Zikai_Growth_stage_metformin_test_20190517_PL5_01	Zikai_Growth_stage_metformin_test_20190517_PL5_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11086	26314	0	28564	24064	0	4500	9355	9040	0	315	32.75	37.57	NaN	7	8586	1151209	24860	2.16	1290	5.19	112937	21472	21296	19.01	21.38	2322	10.81	+	0.85136	1.1786	0.56773	0.81106	
Zikai_Growth_stage_metformin_test_20190517_PL5_02	Zikai_Growth_stage_metformin_test_20190517_PL5_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10630	28898	0	31607	26189	0	5418	9308	8998	0	310	29.45	34.36	NaN	5.72	8545	1152165	27352	2.37	1387	5.07	110577	23312	23080	21.08	23.38	2586	11.09	+	0.87647	1.2041	0.596	0.84912	
Zikai_Growth_stage_metformin_test_20190517_PL5_03	Zikai_Growth_stage_metformin_test_20190517_PL5_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12168	21335	0	22826	19844	0	2982	7473	7346	0	127	32.74	37.02	NaN	4.26	6955	1281051	20157	1.57	1085	5.38	119184	17861	17713	14.99	16.68	1780	9.97	+	0.84007	1.1582	0.55261	0.79154	
Zikai_Growth_stage_metformin_test_20190517_PL6_01	Zikai_Growth_stage_metformin_test_20190517_PL6_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		15388	4713	0	4839	4587	0	252	2989	2951	0	38	61.77	64.33	NaN	15.08	2823	1619889	4478	0.28	215	4.8	126934	4297	4276	3.39	3.92	262	6.1	+	0.62134	0.88139	0.36275	0.52777	
Zikai_Growth_stage_metformin_test_20190517_PL6_02	Zikai_Growth_stage_metformin_test_20190517_PL6_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11466	25146	0	27270	23022	0	4248	9578	9268	0	310	35.12	40.26	NaN	7.3	8652	1234739	23738	1.92	1262	5.32	115336	20559	20355	17.83	19.86	2204	10.72	+	0.83936	1.1555	0.56183	0.80217	
Zikai_Growth_stage_metformin_test_20190517_PL6_03	Zikai_Growth_stage_metformin_test_20190517_PL6_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10620	28922	0	31820	26024	0	5796	11566	11136	0	430	36.35	42.79	NaN	7.42	10434	1097123	27291	2.49	1419	5.2	105307	23128	22844	21.96	24.14	2579	11.15	+	0.86137	1.181	0.57724	0.82151	
Zikai_Growth_stage_metformin_test_20190517_PL6_03_20190608060008	Zikai_Growth_stage_metformin_test_20190517_PL6_03_20190608060008	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10752	28444	0	31338	25550	0	5788	11043	10654	0	389	35.24	41.7	NaN	6.72	9900	1060934	26849	2.53	1371	5.11	103879	22622	22386	21.78	23.95	2612	11.55	+	0.85688	1.1841	0.56849	0.81458	
Zikai_Growth_stage_metformin_test_20190517_PL6_03_20190610001741	Zikai_Growth_stage_metformin_test_20190517_PL6_03_20190610001741	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10763	28305	0	30992	25618	0	5374	10373	10022	0	351	33.47	39.12	NaN	6.53	9296	1119903	26784	2.39	1369	5.11	110002	22734	22515	20.67	23.21	2550	11.22	+	0.86209	1.188	0.57701	0.82422	
Zikai_Growth_stage_metformin_test_20190517_PL6_03_20190612131722	Zikai_Growth_stage_metformin_test_20190517_PL6_03_20190612131722	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12760	16949	0	18064	15834	0	2230	7791	7575	0	216	43.13	47.84	NaN	9.69	7190	1362038	16007	1.18	825	5.15	121720	14415	14319	11.84	13.25	1281	8.89	+	0.81513	1.1153	0.53893	0.77182	
Zikai_Growth_stage_metformin_test_20190517_PL7_01	Zikai_Growth_stage_metformin_test_20190517_PL7_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10845	28275	0	31159	25391	0	5768	10847	10517	0	330	34.81	41.42	NaN	5.72	9737	1142884	26802	2.35	1291	4.82	111628	22601	22379	20.25	22.49	2489	11.01	+	0.86452	1.1901	0.5794	0.83042	
Zikai_Growth_stage_metformin_test_20190517_PL7_02	Zikai_Growth_stage_metformin_test_20190517_PL7_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10918	27943	0	30628	25258	0	5370	11289	10864	0	425	36.86	43.01	NaN	7.91	10032	1158524	26489	2.29	1296	4.89	112323	22525	22298	20.05	22.28	2470	10.97	+	0.85632	1.1733	0.57218	0.81376	
Zikai_Growth_stage_metformin_test_20190517_PL7_03	Zikai_Growth_stage_metformin_test_20190517_PL7_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11011	27705	0	30233	25177	0	5056	10255	9892	0	363	33.92	39.29	NaN	7.18	9336	1128773	26227	2.32	1304	4.97	108993	22406	22181	20.56	22.76	2492	11.12	+	0.85985	1.1826	0.57662	0.8233	
Zikai_Growth_stage_metformin_test_20190517_PO0_01	Zikai_Growth_stage_metformin_test_20190517_PO0_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11566	25038	0	27220	22856	0	4364	7431	7219	0	212	27.3	31.58	NaN	4.86	6799	1210026	23639	1.95	1226	5.19	109681	20563	20289	18.75	21.04	2059	10.01	+	0.87883	1.1992	0.59516	0.84342	
Zikai_Growth_stage_metformin_test_20190517_PO0_02	Zikai_Growth_stage_metformin_test_20190517_PO0_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12262	20740	0	22288	19192	0	3096	5634	5467	0	167	25.28	28.49	NaN	5.39	5263	1327155	19382	1.46	1143	5.9	121816	17245	17014	14.16	15.94	1744	10.11	+	0.84509	1.1576	0.56709	0.80808	
Zikai_Growth_stage_metformin_test_20190517_PO0_03	Zikai_Growth_stage_metformin_test_20190517_PO0_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11468	25999	0	28344	23654	0	4690	6261	6153	0	108	22.09	26.01	NaN	2.3	5605	1229361	24620	2	1223	4.97	114441	21227	20912	18.55	20.81	2173	10.24	+	0.88726	1.209	0.6091	0.8669	
Zikai_Growth_stage_metformin_test_20190517_PO1_01	Zikai_Growth_stage_metformin_test_20190517_PO1_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12040	22264	0	23892	20636	0	3256	7333	7145	0	188	30.69	34.62	NaN	5.77	6783	1316285	21076	1.6	1064	5.05	120509	18632	18433	15.46	17.28	1818	9.76	+	0.8585	1.172	0.58897	0.83877	
Zikai_Growth_stage_metformin_test_20190517_PO1_02	Zikai_Growth_stage_metformin_test_20190517_PO1_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		11532	25211	0	27388	23034	0	4354	8479	8185	0	294	30.96	35.53	NaN	6.75	7762	1222935	23882	1.95	1173	4.91	112338	20761	20481	18.48	20.69	2077	10	+	0.8726	1.1996	0.58659	0.83958	
Zikai_Growth_stage_metformin_test_20190517_PO1_03	Zikai_Growth_stage_metformin_test_20190517_PO1_03	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12208	21337	0	22905	19769	0	3136	7036	6832	0	204	30.72	34.56	NaN	6.51	6516	1340926	20195	1.51	1032	5.11	121169	17879	17679	14.76	16.78	1727	9.66	+	0.84643	1.1634	0.56747	0.80948	
Zikai_Growth_stage_metformin_test_20190517_PO2_01	Zikai_Growth_stage_metformin_test_20190517_PO2_01	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		10554	29897	0	32599	27195	0	5404	10282	9956	0	326	31.54	36.61	NaN	6.03	9348	1079168	28158	2.61	1543	5.48	107086	24019	23745	22.43	24.66	2851	11.87	+	0.87636	1.1981	0.59586	0.85079	
Zikai_Growth_stage_metformin_test_20190517_PO2_02	Zikai_Growth_stage_metformin_test_20190517_PO2_02	0	Trypsin	Specific			FALSE	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			FALSE	FALSE	1	2		Standard		12458	20323	0	21655	18991	0	2664	8068	7848	0	220	37.26	41.32	NaN	8.26	7318	1265286	19106	1.51	1129	5.91	112563	17054	16884	15.15	16.95	1758	10.31	+	0.83566	1.1504	0.54191	0.77469	
